Yonge-St.Clair (97),97,1505.174036
York University Heights (27),27,1729.953215
Lansing-Westgate (38),38,1220.464753
Yorkdale-Glen Park (31),31,1661.821971
Stonegate-Queensway (16),16,851.0829918
Tam O'Shanter-Sullivan (118),118,450.8525003
The Beaches (63),63,599.0556065
Thistletown-Beaumond Heights (3),3,748.1763202
Thorncliffe Park (55),55,1843.869732
Danforth East York (59),59,839.2942299
Humewood-Cedarvale (106),106,665.2283351
Islington-City Centre West (14),14,883.5823001
Danforth (66),66,1379.186817
Rustic (28),28,1900.332226
Scarborough Village (139),139,1716.32569
South Parkdale (85),85,732.1324811
South Riverdale (70),70,1181.752986
St.Andrew-Windfields (40),40,954.5788314
Taylor-Massey (61),61,1752.921536
Humber Summit (21),21,2163.800395
Humbermede (22),22,3101.675236
Centennial Scarborough (133),133,594.5847055
Church-Yonge Corridor (75),75,3224.745883
Clairlea-Birchmount (120),120,1269.028229
Cliffcrest (123),123,985.4198089
Flemingdon Park (44),44,859.8632608
Corso Italia-Davenport (92),92,1405.975395
Ionview (125),125,1556.064073
Junction Area (90),90,3995.793901
Broadview North (57),57,832.3264868
Princess-Rosethorn (10),10,873.3115976
North Riverdale (68),68,1166.466805
Etobicoke West Mall (13),13,2135.966927
Forest Hill North (102),102,925.0370888
Glenfield-Jane Heights (25),25,1515.383438
Greenwood-Coxwell (65),65,1213.098661
Guildwood (140),140,539.010915
Trinity-Bellwoods (81),81,1018.145989
Victoria Village (43),43,1023.454158
Waterfront Communities-The Island (77),77,1285.991874
West Hill (136),136,1556.184873
West Humber-Clairville (1),1,2247.744053
Westminster-Branson (35),35,596.650133
Kennedy Park (124),124,1730.483986
Kingsview Village-The Westway (6),6,1579.756745
Bayview Woods-Steeles (49),49,1029.94012
Clanton Park (33),33,709.5990279
Keelesdale-Eglinton West (110),110,1047.344234
O'Connor-Parkview (54),54,850.5571149
Old East York (58),58,704.0134785
Casa Loma (96),96,564.2834242
Kensington-Chinatown (78),78,4562.057398
Kingsway South (15),15,1777.777778
Runnymede-Bloor West Village (89),89,622.1914967
Forest Hill South (101),101,546.7556485
Henry Farm (53),53,1002.426928
Annex (95),95,2471.11265
Caledonia-Fairbank (109),109,438.2290391
Humber Heights-Westmount (8),8,748.1120757
Roncesvalles (86),86,2421.200916
University (79),79,2557.977506
Hillcrest Village (48),48,870.8948278
Mount Dennis (115),115,2174.174174
Dorset Park (126),126,1512.20375
Edenbridge-Humber Valley (9),9,828.0859139
Dovercourt-Wallace Emerson-Junction (93),93,1808.163899
Newtonbrook West (36),36,1353.161844
Niagara (82),82,1070.646443
Beechborough-Greenbrook (112),112,4825.949367
High Park North (88),88,1714.951715
High Park-Swansea (87),87,467.2897196
Highland Creek (134),134,2172.246358
North St.James Town (74),74,2220.084363
Oakridge (121),121,1636.436459
Rosedale-Moore Park (98),98,1164.344341
Oakwood Village (107),107,557.4057844
Wexford/Maryvale (119),119,989.928553
Eglinton East (138),138,5899.143673
Elms-Old Rexdale (5),5,3184.532272
Agincourt North (129),129,599.4671403
Agincourt South-Malvern West (128),128,915.1707145
Englemount-Lawrence (32),32,746.7752885
Eringate-Centennial-West Deane (11),11,1970.239735
L'Amoreaux (117),117,1036.06028
Banbury-Don Mills (42),42,454.5007862
Bathurst Manor (34),34,1431.85886
Alderwood (20),20,992.3417107
Regent Park (72),72,1672.151561
Bendale (127),127,1174.461921
Birchcliffe-Cliffside (122),122,1052.389
Weston-Pellam Park (91),91,795.9395547
Downsview-Roding-CFB (26),26,2140.070593
Lambton Baby Point (114),114,980.1324503
Bay Street Corridor (76),76,5335.093578
Black Creek (24),24,2360.651934
Willowdale East (51),51,625.2085492
Willowdale West (37),37,1509.922347
Rouge (131),131,578.2617577
Mount Olive-Silverstone-Jamestown (2),2,1361.844463
Cabbagetown-South St.James Town (71),71,840.2407176
Mount Pleasant East (99),99,226.8453571
Mount Pleasant West (104),104,1516.345018
Blake-Jones (69),69,938.1477037
Rexdale-Kipling (4),4,1865.34538
East End-Danforth (62),62,2600.076249
New Toronto (18),18,2001.170275
Palmerston-Little Italy (80),80,1390.346275
Parkwoods-Donalda (45),45,936.1617369
Pelmo Park-Humberlea (23),23,522.4450428
Playter Estates-Danforth (67),67,2715.533612
Willowridge-Martingrove-Richview (7),7,793.6219011
Woburn (137),137,1815.9945
Woodbine-Lumsden (60),60,958.292497
Bayview Village (52),52,664.0322646
Bedford Park-Nortown (39),39,1688.428636
Rockcliffe-Smythe (111),111,754.4082894
Bridle Path-Sunnybrook-York Mills (41),41,825.3515386
Don Valley Village (47),47,756.549897
Weston (113),113,2503.501401
Lawrence Park South (103),103,574.5406667
Brookhaven-Amesbury (30),30,871.5986395
Long Branch (19),19,781.6385987
Malvern (132),132,1124.410591
Dufferin Grove (83),83,661.2741336
Maple Leaf (29),29,548.4460695
Markland Wood (12),12,337.8184941
Steeles (116),116,565.5737705
Lawrence Park North (105),105,729.634381
Yonge-Eglinton (100),100,412.3580537
Mimico (includes Humber Bay Shores) (17),17,1282.982329
Morningside (135),135,885.4399841
Moss Park (73),73,3565.874846
Little Portugal (84),84,902.9640777
Woodbine Corridor (64),64,1275.662747
Newtonbrook East (50),50,1086.441043
Milliken (130),130,923.9077394
Pleasant View (46),46,435.8785842
Wychwood (94),94,1649.317291
Leaside-Bennington (56),56,477.6442781
Briar Hill-Belgravia (108),108,4746.281715
